2019-03-17,17:24:36.391886 sub register to broker on None. ip=tcp://127.0.0.1:6002, topic=hello0
2019-03-17,17:24:45.370868 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_0"}
2019-03-17,17:24:45.524457 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_1"}
2019-03-17,17:24:45.683038 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_2"}
2019-03-17,17:24:45.817672 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_3"}
2019-03-17,17:24:45.960290 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_4"}
2019-03-17,17:24:46.120860 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_5"}
2019-03-17,17:24:46.251512 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_6"}
2019-03-17,17:24:46.401113 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_7"}
2019-03-17,17:24:46.554701 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_8"}
2019-03-17,17:24:46.697346 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_9"}
2019-03-17,17:24:46.848915 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_10"}
2019-03-17,17:24:46.997515 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_11"}
2019-03-17,17:24:47.137144 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_12"}
2019-03-17,17:24:47.262806 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_13"}
2019-03-17,17:24:47.420385 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_14"}
2019-03-17,17:24:47.588934 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_15"}
2019-03-17,17:24:47.750502 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_16"}
2019-03-17,17:24:47.892122 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_17"}
2019-03-17,17:24:48.033744 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_18"}
2019-03-17,17:24:48.166389 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_19"}
2019-03-17,17:24:48.316986 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_20"}
2019-03-17,17:24:48.466585 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_21"}
2019-03-17,17:24:48.622201 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_22"}
2019-03-17,17:24:48.762793 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_23"}
2019-03-17,17:24:48.907408 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_24"}
2019-03-17,17:24:49.064014 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_25"}
2019-03-17,17:24:49.212592 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_26"}
