2019-03-17,17:24:36.335040 sub register to broker on None. ip=tcp://127.0.0.1:6003, topic=hello0
2019-03-17,17:24:45.264154 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_0"}
2019-03-17,17:24:45.416753 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_1"}
2019-03-17,17:24:45.570333 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_2"}
2019-03-17,17:24:45.728910 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_3"}
2019-03-17,17:24:45.857565 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_4"}
2019-03-17,17:24:46.008162 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_5"}
2019-03-17,17:24:46.162749 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_6"}
2019-03-17,17:24:46.296390 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_7"}
2019-03-17,17:24:46.448988 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_8"}
2019-03-17,17:24:46.595591 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_9"}
2019-03-17,17:24:46.740204 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_10"}
2019-03-17,17:24:46.900774 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_11"}
2019-03-17,17:24:47.040401 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_12"}
2019-03-17,17:24:47.176037 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_13"}
2019-03-17,17:24:47.302700 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_14"}
2019-03-17,17:24:47.482219 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_15"}
2019-03-17,17:24:47.634812 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_16"}
2019-03-17,17:24:47.792388 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_17"}
2019-03-17,17:24:47.937002 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_18"}
2019-03-17,17:24:48.072640 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_19"}
2019-03-17,17:24:48.209273 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_20"}
2019-03-17,17:24:48.363866 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_21"}
2019-03-17,17:24:48.518446 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_22"}
2019-03-17,17:24:48.666080 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_23"}
2019-03-17,17:24:48.804710 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_24"}
2019-03-17,17:24:48.954280 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_25"}
2019-03-17,17:24:49.109867 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_26"}
2019-03-17,17:24:49.270435 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_27"}
2019-03-17,17:24:49.449954 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_28"}
2019-03-17,17:24:49.590578 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_29"}
2019-03-17,17:24:49.733197 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_30"}
2019-03-17,17:24:49.913714 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_31"}
2019-03-17,17:24:50.075282 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_32"}
2019-03-17,17:24:50.214909 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_33"}
2019-03-17,17:24:50.346557 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_34"}
