2019-03-17,17:24:36.348006 sub register to broker on None. ip=tcp://127.0.0.1:6000, topic=hello0
2019-03-17,17:24:45.384832 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_0"}
2019-03-17,17:24:45.539417 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_1"}
2019-03-17,17:24:45.699993 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_2"}
2019-03-17,17:24:45.830637 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_3"}
2019-03-17,17:24:45.977245 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_4"}
2019-03-17,17:24:46.133835 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_5"}
2019-03-17,17:24:46.264476 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_6"}
2019-03-17,17:24:46.421059 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_7"}
2019-03-17,17:24:46.567664 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_8"}
2019-03-17,17:24:46.711282 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_9"}
2019-03-17,17:24:46.865867 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_10"}
2019-03-17,17:24:47.011479 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_11"}
2019-03-17,17:24:47.150110 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_12"}
2019-03-17,17:24:47.274773 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_13"}
2019-03-17,17:24:47.440331 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_14"}
2019-03-17,17:24:47.602896 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_15"}
2019-03-17,17:24:47.764465 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_16"}
2019-03-17,17:24:47.905089 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_17"}
2019-03-17,17:24:48.046708 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_18"}
2019-03-17,17:24:48.180351 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_19"}
2019-03-17,17:24:48.331946 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_20"}
2019-03-17,17:24:48.489523 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_21"}
2019-03-17,17:24:48.636135 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_22"}
2019-03-17,17:24:48.776756 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_23"}
2019-03-17,17:24:48.923363 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_24"}
2019-03-17,17:24:49.077952 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_25"}
2019-03-17,17:24:49.231541 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_26"}
2019-03-17,17:24:49.417044 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_27"}
2019-03-17,17:24:49.560658 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_28"}
