2019-03-17,17:24:36.352990 sub register to broker on None. ip=tcp://127.0.0.1:6009, topic=hello0
2019-03-17,17:24:45.294072 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_0"}
2019-03-17,17:24:45.446666 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_1"}
2019-03-17,17:24:45.610226 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_2"}
2019-03-17,17:24:45.753843 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_3"}
2019-03-17,17:24:45.887485 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_4"}
2019-03-17,17:24:46.039082 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_5"}
2019-03-17,17:24:46.188679 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_6"}
2019-03-17,17:24:46.323320 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_7"}
2019-03-17,17:24:46.478910 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_8"}
2019-03-17,17:24:46.621522 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_9"}
2019-03-17,17:24:46.772120 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_10"}
2019-03-17,17:24:46.928703 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_11"}
2019-03-17,17:24:47.066333 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_12"}
2019-03-17,17:24:47.200971 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_13"}
2019-03-17,17:24:47.328629 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_14"}
2019-03-17,17:24:47.514135 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_15"}
2019-03-17,17:24:47.668720 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_16"}
2019-03-17,17:24:47.820314 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_17"}
2019-03-17,17:24:47.963931 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_18"}
2019-03-17,17:24:48.098571 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_19"}
2019-03-17,17:24:48.237200 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_20"}
2019-03-17,17:24:48.394778 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_21"}
2019-03-17,17:24:48.546372 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_22"}
2019-03-17,17:24:48.693979 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_23"}
2019-03-17,17:24:48.836596 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_24"}
2019-03-17,17:24:48.997166 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_25"}
2019-03-17,17:24:49.137792 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_26"}
2019-03-17,17:24:49.303361 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_27"}
2019-03-17,17:24:49.478878 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_28"}
2019-03-17,17:24:49.619508 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_29"}
2019-03-17,17:24:49.778078 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_30"}
2019-03-17,17:24:49.946626 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_31"}
2019-03-17,17:24:50.105205 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_32"}
2019-03-17,17:24:50.241838 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_33"}
2019-03-17,17:24:50.373485 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_34"}
2019-03-17,17:24:50.536049 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_35"}
2019-03-17,17:24:50.672685 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_36"}
