2019-03-17,17:28:20.454671 sub register to broker on None. ip=tcp://127.0.0.1:6000, topic=hello0
2019-03-17,17:28:29.424677 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_0"}
2019-03-17,17:28:29.438638 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_1"}
2019-03-17,17:28:29.454596 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_2"}
2019-03-17,17:28:29.469556 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_3"}
2019-03-17,17:28:29.486512 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_4"}
2019-03-17,17:28:29.509451 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_5"}
2019-03-17,17:28:29.523412 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_6"}
2019-03-17,17:28:29.541364 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_7"}
2019-03-17,17:28:29.555326 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_8"}
2019-03-17,17:28:29.568292 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_9"}
2019-03-17,17:28:29.583254 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_10"}
2019-03-17,17:28:29.597216 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_11"}
2019-03-17,17:28:29.612176 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_12"}
2019-03-17,17:28:29.628131 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_13"}
2019-03-17,17:28:29.645087 receive a msg={'topic': 'hello0', 'value': "[{'topic': 'hello0', 'history': 1}]_msg_14"}
